Format: dim,color,coord1,coord2,...,coordn
5,1,0.22992113279381177,0.27901525070373845,0.21801018023471885,0.9822495650334503,0.6468067821961189
5,1,0.41643186700638735,0.5999643246593137,0.30476599218584555,0.2239300539856588,0.8447543536403851
5,0,0.3496951284407035,0.14196613882545217,0.09884376376278936,0.6501039005728223,0.19880681693755986
5,1,0.33901576732243044,0.13870338472474508,0.1466386667356293,0.663529117345638,0.18843222921268676
5,0,0.7753557200537998,0.26046304037356494,0.907053669797759,0.592491669360607,0.1404612098253244
5,1,0.9398192324476113,0.6067076906553415,0.355710804791478,0.9961197785782165,0.06069850725377268
5,0,0.24023791051797938,0.7304617245204745,0.8821421297526923,0.7395074651689931,0.9620051450068073
5,2,0.9928766863841882,0.9103580196933216,0.5749351982270698,0.4499877110679017,0.2098975596531194
5,0,0.16448859662691062,0.19423613226957315,0.7350190179528149,0.9645636888608681,0.7443909470829715
5,2,0.2038884617138984,0.14383902080835165,0.5671570940965305,0.4390461395525834,0.5791302672614393
5,1,0.2951652130136354,0.16640808131734852,0.9896303287421652,0.9532796702421944,0.9470214612283786
5,0,0.9216273499156048,0.8635840993472591,0.27749791561769055,0.643521001463819,0.26995208988642283
5,1,0.7074603162196086,0.312470968403328,0.5677698275933261,0.5285596092117079,0.8488546969253564
5,1,0.6303112832213567,0.367855682881679,0.8243438888604531,0.9162299484210373,0.34081561151041895
5,0,0.28597209656149924,0.3194262593354448,0.6567245856089895,0.09932702431472096,0.8609818191752165
5,1,0.836794218545129,0.37301084532969253,0.7799651959048556,0.8478746967608048,0.2259381420456591
5,1,0.5078295037073722,0.43673567768414356,0.34883802760921,0.16848770994411588,0.509908514538504
5,0,0.8653175876058111,0.8521765639781397,0.0707570266954839,0.5889291362829082,0.2258580555720231
5,2,0.05642421202080761,0.5917781855544313,0.9360209387103137,0.22963770320010335,0.13261030740652158
5,1,0.06065019422683071,0.5567763566350268,0.29410486541376557,0.803380109715768,0.35064548605471635
5,0,0.8575870821670764,0.725429254149189,0.6134114805644086,0.1279693555784538,0.9424285662641385
5,2,0.9322106356365144,0.017653684459321695,0.6759035932157381,0.3566812310534123,0.9259473847601222
5,1,0.14103082209203066,0.5347358867557823,0.906415676353972,0.08311969523889917,0.4812199807189135
5,2,0.27422690244608394,0.17643681425269098,0.7308347732664586,0.5161329861303072,0.41508267916854835
5,0,0.24270350533983753,0.7797256602723865,0.21591191723622694,0.9684043139628862,0.6248480245337759
5,1,0.27495320826197855,0.8050978221308086,0.860366840711798,0.5954255854117743,0.9860562338679139
5,2,0.313968376666511,0.7206204043529926,0.3795833451736036,0.31023405046853736,0.7526712334948574
5,2,0.4315503693709828,0.7886582867301658,0.894162455897771,0.8765089923276661,0.44648347038685054
5,1,0.34755180006804487,0.9629201041758333,0.4388153443742595,0.15583481237873853,0.5507846412577421
5,1,0.3044919469512066,0.8176409732350985,0.23190981254321097,0.14583829410997584,0.7957688802885116
5,2,0.5234769205737811,0.21027060838454548,0.5618252116628979,0.7871321951271174,0.9537822771699729
5,0,0.7518147422036568,0.41809341159393154,0.9436515541311458,0.8480846224511597,0.9117842152348032
5,0,0.7420337237974054,0.3394919014038835,0.9959224216515101,0.23051302274990393,0.042251549387389065
5,1,0.5033413687956275,0.392713718539376,0.961250964078642,0.8356223567976219,0.591444493954374
5,2,0.019818321922885684,0.5667479693839198,0.7910290389637007,0.011352094969950044,0.048612035067931214
5,0,0.5220552965947822,0.9900508430715341,0.6401901635152444,0.27506632719459734,0.19914974798746343
5,2,0.6413464392433026,0.6310570864023385,0.9217041173633659,0.2435700715315524,0.8596333058858606
5,2,0.45751058472522643,0.10739380737281778,0.6064081489739378,0.4866532207555848,0.28238917693098753
5,1,0.7326829728995894,0.8132908772789637,0.2594389687181986,0.5773155306157884,0.19239177186755863
5,1,0.22468440892699548,0.29060336437541134,0.7274864231492925,0.30156339502817886,0.549119104603308
5,1,0.2289981245266518,0.2968468091854315,0.7020040900316545,0.9380285489880734,0.3293362614828531
5,0,0.7774751819889357,0.24634365961839821,0.7996236890847442,0.9819602452530276,0.3240841973038252
5,0,0.9969217310658102,0.9942908591009292,0.9129562475148464,0.04328368856261411,0.14608163473540958
5,1,0.46244114804013114,0.561215302571544,0.8411278371165539,0.12013760816122654,0.629083875854188
5,2,0.19823592821233305,0.5549258661605878,0.13874897411362097,0.24182063178648094,0.8267673330774441
5,2,0.001624439625177443,0.24933420784351867,0.56477481313428,0.5518857780385938,0.7279980211931764
5,0,0.34504026837678214,0.4272594828740458,0.5051880928345742,0.5243035810596609,0.02208676458874359
5,2,0.3972861631800977,0.03638718356536197,0.061271064546360665,0.6336172120916483,0.8029812428701363
5,1,0.8149213851103286,0.9395967660703576,0.4358861230406188,0.30252157482647035,0.7267270626706804
5,1,0.018774545832144218,0.14346314200301347,0.19179677499309322,0.1961351451975022,0.8165570054055571
5,1,0.327960090340661,0.1105441249267578,0.5643229526496842,0.7091330222729825,0.8768984979941489
5,1,0.01647117107128404,0.5259466726360496,0.81911476670023,0.9249384883186454,0.5005854667731104
5,0,0.8560640955701145,0.48226083849390744,0.12732503900470515,0.07103037528616707,0.9664176684593113
5,2,0.5269079563104092,0.3602797256430307,0.43832518752329575,0.1581163018666666,0.49613852841250017
5,2,0.3200822438147327,0.6423683480308107,0.21879240840074932,0.15151841562575996,0.7766152950322085
5,2,0.518388662356774,0.8442932620539854,0.5706352444792646,0.04569969954304032,0.9629797753857172
